FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
1492,Washington Street,4873200,5,2,0, ,SLM,0,84.4658488146164
1493,D Street,5756700,5,2,0,2013,CFBL,18.243369921,59.853456123482
1494,D Street,5756600,5,2,0,2013,SLM,18.3585511536,60.2313465844314
1495,D Street,5224700,5,2,0,2013,SLM,31.1871719443,102.319913289509
1496,Dorchester Avenue,5627101,3,1,0,2011,SLM,30.9334179414,101.487388714052
1497,A Street,4540700,5,2,0,2013,BL,54.7652064079,179.675514681677
1498,A Street,4536300,5,2,0,2013,BL,54.3181595723,178.208828511
1499,Stuart Street,5843000,3,2,0,2017,BL,51.0274010117,167.412398136717
1500,Main Street,5232000,5,2,0,2011,SLM,33.5293539129,110.004221972406
1501,Main Street,5173000,5,2,0,2011,BL,30.8954342356,101.362770504511
1502,Alford Street,6273600,3,2,1,2016,BFBL,346.113585968,1135.54098995971
1503,Adams Street,5695800,5,2,0,2017,BL,186.790875534,612.82973079452
1504,Dorchester Avenue,5198400,3,2,0,2010,SLM,107.407571401,352.386340509229
1505,Dorchester Avenue,5198600,3,2,0,2010,SLM,20.4134013166,66.9729674566981
1506,Dorchester Avenue,4936000,3,2,0,2010,SLM,89.9018726932,294.953060676216
